Product Category,SKU,Product Name,Price,Quantity,Platform
Electronics,SKU-8901-STUV,TwilightTranquil Relaxation Tea,38.5,8,Amazon
Health & Beauty,SKU-2345-WXYZ,RainforestRush Natural Shower Gel,21.99,17,Shopify
Fashion & Apparel,SKU-6789-ABCD,RadiantGrove Botanical Facial Mask,9.95,5,eBay
Home & Kitchen,SKU-0123-EFGH,SereneSilk Luxury Silk Pillowcase,33.75,12,eBay
Fashion & Apparel,SKU-4567-IJKL,DawnDew Morning Energy Drink,17.5,3,Shopify
Electronics,SKU-5430-GHIJ,TwilightTrance Lavender Sleep Spray,38.5,19,Amazon
Home & Kitchen,SKU-1976-KLMN,WhisperingWillow Bamboo Bath Mat,21.99,14,Amazon
Health & Beauty,SKU-8536-EFGH,ZenithZephyr Himalayan Salt Body Scrub,9.95,6,eBay
Electronics,SKU-2065-IJKL,ZephyrZest Organic Lemon Verbena Soap,33.75,10,Shopify
Home & Kitchen,SKU-6789-ABCD,RadiantGrove Botanical Facial Mask,9.95,2,Shopify
Electronics,SKU-7892-XYZA,ArcticBreeze Cooling Gel Pillow,8.75,16,Amazon
Health & Beauty,SKU-4563-PQRS,CascadeCrisp Mountain Spring Water,14.99,7,eBay
Fashion & Apparel,SKU-2387-LMNO,EmberGlow Firewood Kindling,29.99,11,eBay
Electronics,SKU-9045-IJKL,ForestFern Botanical Body Wash,21.99,4,Amazon
Home & Kitchen,SKU-6231-UVWX,GoldenHarvest Honey Roasted Nuts,22.45,18,Shopify
Health & Beauty,SKU-1278-EFGH,HorizonHaven Oceanfront Retreat Candle,5.99,9,Amazon
Electronics,SKU-5436-QRST,LuminousLagoon Bioluminescent Body Lotion,27.5,1,eBay
Fashion & Apparel,SKU-8901-ABCD,MistyMeadow Morning Dew Facial Toner,8.75,13,eBay
Health & Beauty,SKU-3654-WXYZ,OrchidOpulence Velvet Hair Scrunchie,19.95,20,Amazon
Fashion & Apparel,SKU-6210-OPQR,SparklingShore Ocean Breeze Air Freshener,29.99,15,eBay
Home & Kitchen,SKU-4376-STUV,SunburstSizzle Chili Lime Hot Sauce,16.75,5,Shopify
Electronics,SKU-9821-BCDF,TranquilTerrace Zen Garden Kit,10.25,8,Amazon
Fashion & Apparel,SKU-8536-EFGH,ZenithZephyr Himalayan Salt Body Scrub,9.95,2,eBay
Electronics,SKU-2065-IJKL,ZephyrZest Organic Lemon Verbena Soap,33.75,12,Shopify
Home & Kitchen,SKU-0123-EFGH,SereneSilk Luxury Silk Pillowcase,33.75,19,eBay
Fashion & Apparel,SKU-4567-IJKL,DawnDew Morning Energy Drink,17.5,14,Shopify
Health & Beauty,SKU-8901-STUV,TwilightTranquil Relaxation Tea,38.5,3,Amazon
Fashion & Apparel,SKU-2345-WXYZ,RainforestRush Natural Shower Gel,21.99,17,Amazon
Home & Kitchen,SKU-6789-ABCD,RadiantGrove Botanical Facial Mask,9.95,6,eBay
Electronics,SKU-7892-XYZA,ArcticBreeze Cooling Gel Pillow,8.75,11,Shopify
Fashion & Apparel,SKU-0123-EFGH,SereneSilk Luxury Silk Pillowcase,33.75,10,Amazon
Electronics,SKU-4567-IJKL,DawnDew Morning Energy Drink,17.5,7,eBay
Health & Beauty,SKU-5430-GHIJ,TwilightTrance Lavender Sleep Spray,38.5,16,eBay
Electronics,SKU-6789-ABCD,RadiantGrove Botanical Facial Mask,9.95,4,Shopify
Health & Beauty,SKU-7892-XYZA,ArcticBreeze Cooling Gel Pillow,8.75,18,Amazon
Home & Kitchen,SKU-4563-PQRS,CascadeCrisp Mountain Spring Water,14.99,1,Shopify
Fashion & Apparel,SKU-1278-EFGH,HorizonHaven Oceanfront Retreat Candle,5.99,9,eBay
Health & Beauty,SKU-1976-KLMN,WhisperingWillow Bamboo Bath Mat,21.99,13,Amazon
Electronics,SKU-8536-EFGH,ZenithZephyr Himalayan Salt Body Scrub,9.95,20,Shopify
Fashion & Apparel,SKU-2065-IJKL,ZephyrZest Organic Lemon Verbena Soap,33.75,15,eBay
Fashion & Apparel,SKU-4563-PQRS,CascadeCrisp Mountain Spring Water,14.99,5,eBay
Electronics,SKU-6231-UVWX,GoldenHarvest Honey Roasted Nuts,22.45,8,Amazon
Health & Beauty,SKU-5436-QRST,LuminousLagoon Bioluminescent Body Lotion,27.5,2,eBay
Home & Kitchen,SKU-3654-WXYZ,OrchidOpulence Velvet Hair Scrunchie,19.95,12,Amazon
Health & Beauty,SKU-4376-STUV,SunburstSizzle Chili Lime Hot Sauce,16.75,19,Shopify
Fashion & Apparel,SKU-8536-EFGH,ZenithZephyr Himalayan Salt Body Scrub,9.95,14,Amazon
Electronics,SKU-1976-KLMN,WhisperingWillow Bamboo Bath Mat,21.99,3,Shopify
Fashion & Apparel,SKU-8536-EFGH,ZenithZephyr Himalayan Salt Body Scrub,9.95,17,eBay
Home & Kitchen,SKU-2065-IJKL,ZephyrZest Organic Lemon Verbena Soap,33.75,6,eBay
Electronics,SKU-4563-PQRS,CascadeCrisp Mountain Spring Water,14.99,11,Shopify
Health & Beauty,SKU-6231-UVWX,GoldenHarvest Honey Roasted Nuts,22.45,10,Amazon
Fashion & Apparel,SKU-5436-QRST,LuminousLagoon Bioluminescent Body Lotion,27.5,7,Shopify
Electronics,SKU-3654-WXYZ,OrchidOpulence Velvet Hair Scrunchie,19.95,16,Amazon
Health & Beauty,SKU-4376-STUV,SunburstSizzle Chili Lime Hot Sauce,16.75,4,eBay
Home & Kitchen,SKU-8536-EFGH,ZenithZephyr Himalayan Salt Body Scrub,9.95,18,Amazon
Electronics,SKU-1976-KLMN,WhisperingWillow Bamboo Bath Mat,21.99,1,eBay
Home & Kitchen,SKU-8536-EFGH,ZenithZephyr Himalayan Salt Body Scrub,9.95,9,Shopify
Health & Beauty,SKU-2065-IJKL,ZephyrZest Organic Lemon Verbena Soap,33.75,13,eBay
Fashion & Apparel,SKU-4563-PQRS,CascadeCrisp Mountain Spring Water,14.99,20,Amazon
Electronics,SKU-6231-UVWX,GoldenHarvest Honey Roasted Nuts,22.45,15,Shopify
Health & Beauty,SKU-5436-QRST,LuminousLagoon Bioluminescent Body Lotion,27.5,5,eBay
Fashion & Apparel,SKU-3654-WXYZ,OrchidOpulence Velvet Hair Scrunchie,19.95,8,Shopify
Electronics,SKU-4376-STUV,SunburstSizzle Chili Lime Hot Sauce,16.75,2,Shopify
Home & Kitchen,SKU-8536-EFGH,ZenithZephyr Himalayan Salt Body Scrub,9.95,12,Amazon
Fashion & Apparel,SKU-1976-KLMN,WhisperingWillow Bamboo Bath Mat,21.99,19,eBay
Electronics,SKU-8536-EFGH,ZenithZephyr Himalayan Salt Body Scrub,9.95,14,eBay
Fashion & Apparel,SKU-2065-IJKL,ZephyrZest Organic Lemon Verbena Soap,33.75,3,Amazon
Health & Beauty,SKU-4563-PQRS,CascadeCrisp Mountain Spring Water,14.99,17,Amazon
Electronics,SKU-6231-UVWX,GoldenHarvest Honey Roasted Nuts,22.45,6,Shopify
Home & Kitchen,SKU-5436-QRST,LuminousLagoon Bioluminescent Body Lotion,27.5,11,Amazon
Fashion & Apparel,SKU-3654-WXYZ,OrchidOpulence Velvet Hair Scrunchie,19.95,10,eBay
Electronics,SKU-4376-STUV,SunburstSizzle Chili Lime Hot Sauce,16.75,7,Shopify
Fashion & Apparel,SKU-8536-EFGH,ZenithZephyr Himalayan Salt Body Scrub,9.95,16,Shopify
Health & Beauty,SKU-1976-KLMN,WhisperingWillow Bamboo Bath Mat,21.99,4,eBay
Fashion & Apparel,SKU-8536-EFGH,ZenithZephyr Himalayan Salt Body Scrub,9.95,18,Amazon
Home & Kitchen,SKU-2065-IJKL,ZephyrZest Organic Lemon Verbena Soap,33.75,1,Shopify
Electronics,SKU-4563-PQRS,CascadeCrisp Mountain Spring Water,14.99,9,eBay
Health & Beauty,SKU-6231-UVWX,GoldenHarvest Honey Roasted Nuts,22.45,13,Amazon
Electronics,SKU-5436-QRST,LuminousLagoon Bioluminescent Body Lotion,27.5,20,Shopify
Fashion & Apparel,SKU-3654-WXYZ,OrchidOpulence Velvet Hair Scrunchie,19.95,15,Amazon
Fashion & Apparel,SKU-4376-STUV,SunburstSizzle Chili Lime Hot Sauce,16.75,5,Shopify
Electronics,SKU-8536-EFGH,ZenithZephyr Himalayan Salt Body Scrub,9.95,8,eBay
Home & Kitchen,SKU-1976-KLMN,WhisperingWillow Bamboo Bath Mat,21.99,2,eBay
Health & Beauty,SKU-8536-EFGH,ZenithZephyr Himalayan Salt Body Scrub,9.95,12,Shopify
Home & Kitchen,SKU-2065-IJKL,ZephyrZest Organic Lemon Verbena Soap,33.75,19,Amazon
Electronics,SKU-4563-PQRS,CascadeCrisp Mountain Spring Water,14.99,14,eBay
Health & Beauty,SKU-6231-UVWX,GoldenHarvest Honey Roasted Nuts,22.45,3,Amazon
Fashion & Apparel,SKU-5436-QRST,LuminousLagoon Bioluminescent Body Lotion,27.5,17,Shopify
Health & Beauty,SKU-3654-WXYZ,OrchidOpulence Velvet Hair Scrunchie,19.95,6,eBay
Home & Kitchen,SKU-4376-STUV,SunburstSizzle Chili Lime Hot Sauce,16.75,11,eBay
Electronics,SKU-8536-EFGH,ZenithZephyr Himalayan Salt Body Scrub,9.95,10,Shopify
Fashion & Apparel,SKU-1976-KLMN,WhisperingWillow Bamboo Bath Mat,21.99,7,eBay
Electronics,SKU-8536-EFGH,ZenithZephyr Himalayan Salt Body Scrub,9.95,16,Shopify
Home & Kitchen,SKU-2065-IJKL,ZephyrZest Organic Lemon Verbena Soap,33.75,4,Amazon
Health & Beauty,SKU-4563-PQRS,CascadeCrisp Mountain Spring Water,14.99,18,Amazon
Fashion & Apparel,SKU-6231-UVWX,GoldenHarvest Honey Roasted Nuts,22.45,1,Shopify
Electronics,SKU-5436-QRST,LuminousLagoon Bioluminescent Body Lotion,27.5,9,eBay
Home & Kitchen,SKU-3654-WXYZ,OrchidOpulence Velvet Hair Scrunchie,19.95,13,Shopify
Fashion & Apparel,SKU-4376-STUV,SunburstSizzle Chili Lime Hot Sauce,16.75,20,eBay
Electronics,SKU-8536-EFGH,ZenithZephyr Himalayan Salt Body Scrub,9.95,15,Shopify
Health & Beauty,SKU-6789-ABCD,RadiantGrove Botanical Facial Mask,9.95,5,Amazon
